Date;BTC;ETH;DOGE;LTC;HEX
2021-02-15;48696.535156;1804.676758;0.062568;214.324997;0.010862
2021-02-16;47944.457031;1778.945557;0.056488;207.610443;0.010084
2021-02-17;49207.277344;1781.350098;0.053522;210.569031;0.010415
2021-02-18;52140.972656;1848.206299;0.049363;236.949249;0.010655
2021-02-19;51675.980469;1938.859863;0.059434;226.899292;0.009991
2021-02-20;55887.335938;1959.902954;0.055132;236.654907;0.009358
2021-02-21;56068.566406;1918.673096;0.054369;227.519623;0.009107
2021-02-22;57532.738281;1935.557861;0.056044;227.223816;0.009141
2021-02-23;54204.929688;1781.409058;0.053698;208.123413;0.008447
2021-02-24;48835.085938;1571.476440;0.047414;176.966766;0.008125
2021-02-25;49709.082031;1625.393921;0.056615;181.385422;0.008375
2021-02-26;47180.464844;1478.653320;0.050138;179.128525;0.008333
2021-02-27;46344.773438;1446.929443;0.050500;170.431427;0.008061
2021-02-28;46194.015625;1459.860474;0.050097;172.102188;0.009374
2021-03-01;45159.503906;1417.151123;0.048070;164.983139;0.008321
2021-03-02;49612.105469;1564.063477;0.050596;175.209686;0.008697
2021-03-03;48415.816406;1491.451172;0.050278;177.974365;0.008586
2021-03-04;50522.304688;1574.623779;0.050587;188.458313;0.009123
2021-03-05;48527.031250;1541.541748;0.050028;181.039963;0.009088
2021-03-06;48899.230469;1532.372803;0.049601;180.706329;0.008830
2021-03-07;48918.679688;1655.392456;0.050980;182.990692;0.008489
2021-03-08;51174.117188;1724.229248;0.052123;190.771271;0.008795
2021-03-09;52272.968750;1835.148071;0.062104;191.940048;0.008598
2021-03-10;54824.011719;1868.489014;0.057964;203.641586;0.008759
2021-03-11;55963.179688;1798.033936;0.055977;200.449753;0.008488
2021-03-12;57821.218750;1826.546753;0.055921;201.273666;0.008834
2021-03-13;57343.371094;1772.166382;0.055353;220.864532;0.009120
2021-03-14;61221.132813;1923.863770;0.062384;226.505508;0.009930
2021-03-15;59267.429688;1854.086670;0.058531;215.227280;0.009404
2021-03-16;55840.785156;1792.413818;0.057086;201.191208;0.010976
2021-03-17;56825.828125;1807.056152;0.058610;201.064163;0.011580
2021-03-18;58893.078125;1823.158447;0.057640;206.033142;0.012349
2021-03-19;57850.441406;1782.568726;0.057377;200.499222;0.012859
2021-03-20;58332.261719;1817.522705;0.058315;201.033401;0.011404
2021-03-21;58309.914063;1812.606567;0.058970;200.813843;0.011945
2021-03-22;57517.890625;1788.362183;0.057259;196.429901;0.011625
2021-03-23;54511.660156;1690.871826;0.054941;187.069107;0.011783
2021-03-24;54710.488281;1678.002563;0.053528;187.339081;0.012107
2021-03-25;52726.746094;1593.123291;0.051699;177.586411;0.013351
2021-03-26;51683.011719;1595.210083;0.051433;173.022186;0.013880
2021-03-27;55137.566406;1703.036133;0.053940;184.267288;0.014980
2021-03-28;55974.941406;1716.405640;0.054381;184.824356;0.016149
2021-03-29;55947.898438;1691.263184;0.053678;185.015610;0.016452
2021-03-30;57750.132813;1819.466309;0.054052;194.470825;0.015632
2021-03-31;58930.277344;1846.098267;0.053902;196.688950;0.017503
2021-04-01;58926.562500;1919.157227;0.053655;197.524368;0.017900
2021-04-02;59098.878906;1976.932739;0.061968;204.053619;0.017624
2021-04-03;59397.410156;2142.895996;0.057658;213.159744;0.016936
2021-04-04;57604.839844;2027.671265;0.055776;197.109772;0.017503
2021-04-05;58760.875000;2093.260742;0.057411;204.047775;0.019484
2021-04-06;59171.933594;2109.493164;0.059689;221.614639;0.019259
2021-04-07;58186.507813;2117.728516;0.064454;237.561569;0.020146
2021-04-08;56099.914063;1969.133179;0.059036;219.846619;0.020369
2021-04-09;58326.562500;2088.772217;0.061463;227.022171;0.021548
2021-04-10;58253.777344;2071.111572;0.061591;221.716019;0.021211
2021-04-11;59846.230469;2136.156982;0.063749;256.921326;0.018969
2021-04-12;60175.945313;2157.361816;0.074544;253.176010;0.019912
2021-04-13;59890.019531;2139.364258;0.070678;244.712189;0.019418
2021-04-14;63523.753906;2299.347900;0.094256;267.232483;0.018603
2021-04-15;63075.195313;2436.034668;0.121167;279.341156;0.018351
2021-04-16;63258.503906;2516.601807;0.181587;286.280670;0.018939
2021-04-17;61529.921875;2429.980957;0.366098;309.556641;0.018979
2021-04-18;60701.886719;2346.452393;0.285105;304.647034;0.017984
2021-04-19;56191.585938;2238.032715;0.320466;273.645142;0.020002
2021-04-20;55681.792969;2161.939453;0.408435;261.280304;0.016395
2021-04-21;56471.128906;2331.160156;0.316953;261.067902;0.016928
2021-04-22;53857.105469;2357.871094;0.305990;258.059418;0.016722
2021-04-23;51739.808594;2401.256348;0.261023;253.104797;0.017636
2021-04-24;51143.226563;2367.199219;0.249544;241.457794;0.015927
2021-04-25;50052.832031;2214.413818;0.269789;224.921844;0.015972
2021-04-26;49077.792969;2319.478027;0.251240;223.987137;0.015591
2021-04-27;54030.304688;2534.031250;0.271427;247.578278;0.015753
2021-04-28;55036.636719;2664.685547;0.272273;259.790955;0.014396
2021-04-29;54858.089844;2748.649658;0.323232;258.576996;0.016178
2021-04-30;53568.664063;2757.734131;0.304702;255.450577;0.016301
2021-05-01;57714.664063;2772.838379;0.337559;271.142670;0.017663
2021-05-02;57825.863281;2945.560059;0.391087;276.960419;0.020191
2021-05-03;56620.273438;2951.175781;0.373631;269.008301;0.020148
2021-05-04;57214.179688;3431.131592;0.440274;294.774261;0.021589
2021-05-05;53252.164063;3240.554688;0.537355;305.177399;0.023819
2021-05-06;57441.308594;3524.930908;0.652842;356.022125;0.029156
2021-05-07;56413.953125;3490.105225;0.581110;354.506836;0.026100
2021-05-08;57352.765625;3481.988037;0.687801;345.296875;0.031150
2021-05-09;58877.390625;3911.463135;0.635820;347.090027;0.033659
2021-05-10;58250.871094;3924.413330;0.569687;387.869171;0.039031
2021-05-11;55847.242188;3948.271973;0.450488;359.258087;0.045441
2021-05-12;56714.531250;4174.635742;0.493742;377.670532;0.049870
2021-05-13;49735.433594;3828.918457;0.392176;310.102386;0.053944
2021-05-14;49682.980469;3720.122314;0.487070;317.517212;0.064377
2021-05-15;49855.496094;4075.951660;0.559668;326.397919;0.060655
2021-05-16;46716.636719;3641.830811;0.507910;299.817963;0.053124
2021-05-17;46415.898438;3581.343018;0.513413;296.092438;0.054563
2021-05-18;43488.058594;3276.872314;0.486954;281.103333;0.049232
2021-05-19;42944.976563;3382.657227;0.476435;294.605591;0.054356
2021-05-20;36753.667969;2439.638672;0.330252;186.866272;0.040800
2021-05-21;40596.949219;2772.341309;0.398124;210.935974;0.047460
2021-05-22;37371.031250;2436.014648;0.358717;180.538742;0.049128
2021-05-23;37531.449219;2298.367188;0.342522;169.684509;0.046699
2021-05-24;34700.363281;2099.936035;0.306715;142.802643;0.039960
2021-05-25;38795.781250;2649.033203;0.366041;185.037491;0.045780
2021-05-26;38392.625000;2707.052734;0.346396;183.976318;0.049107
2021-05-27;39316.890625;2888.752441;0.353463;199.235184;0.056111
2021-05-28;38507.082031;2742.468994;0.333651;193.990540;0.062554
2021-05-29;35684.156250;2414.067139;0.311398;177.378220;0.059233
2021-05-30;34607.406250;2278.288818;0.302969;163.801666;0.054021
2021-05-31;35658.593750;2387.198486;0.301949;170.668884;0.053911
2021-06-01;37293.792969;2707.560547;0.325744;188.117554;0.052338
2021-06-02;36699.921875;2634.456055;0.370302;183.002991;0.054372
2021-06-03;37599.410156;2708.376221;0.423739;187.410080;0.055430
2021-06-04;39242.484375;2857.165527;0.400982;193.549042;0.054978
2021-06-05;36880.156250;2691.619385;0.376752;178.706223;0.060114
2021-06-06;35538.609375;2629.748779;0.371676;173.146652;0.057681
2021-06-07;35835.265625;2713.047363;0.371566;176.539307;0.059697
2021-06-08;33589.519531;2594.602295;0.331822;162.048981;0.057019
2021-06-09;33416.976563;2510.199219;0.326423;160.891312;0.059857
2021-06-10;37389.515625;2611.142578;0.343339;172.478577;0.065674
2021-06-11;36697.031250;2472.858887;0.326364;168.243973;0.072094
2021-06-12;37340.144531;2354.752197;0.318893;162.977036;0.079128
2021-06-13;35555.789063;2372.690186;0.312485;161.982590;0.081837
2021-06-14;39016.968750;2508.770508;0.323903;170.854401;0.085048
